"S" "q/q_s" "D/h"
0.000000e+00 1.000000e+00 6.149700e-05
6.250000e-03 9.975170e-01 3.207800e-04
1.250000e-02 9.946864e-01 5.438600e-04
1.875000e-02 9.944878e-01 7.716100e-04
2.500000e-02 9.950837e-01 1.002600e-03
3.125000e-02 9.960769e-01 1.241000e-03
3.750000e-02 9.971694e-01 1.487200e-03
4.375000e-02 9.981626e-01 1.743400e-03
5.000000e-02 9.993544e-01 2.009900e-03
5.625000e-02 1.000695e+00 2.287900e-03
6.250000e-02 1.002235e+00 2.577600e-03
6.875000e-02 1.004072e+00 2.879600e-03
7.500000e-02 1.005314e+00 3.193800e-03
8.125000e-02 1.006356e+00 3.520600e-03
8.750000e-02 1.007846e+00 3.859700e-03
9.375000e-02 1.009386e+00 4.211400e-03
1.000000e-01 1.011273e+00 4.575000e-03
1.062500e-01 1.013557e+00 4.950700e-03
1.125000e-01 1.015643e+00 5.337900e-03
1.187500e-01 1.017480e+00 5.736600e-03
1.250000e-01 1.019765e+00 6.146000e-03
1.312500e-01 1.022198e+00 6.566200e-03
1.375000e-01 1.024184e+00 6.996300e-03
1.437500e-01 1.027065e+00 7.436300e-03
1.500000e-01 1.030541e+00 7.885400e-03
1.562500e-01 1.031733e+00 8.343500e-03
1.625000e-01 1.033620e+00 8.809700e-03
1.687500e-01 1.036649e+00 9.284000e-03
1.750000e-01 1.040075e+00 9.765400e-03
1.812500e-01 1.043403e+00 1.025400e-02
1.875000e-01 1.044843e+00 1.074900e-02
1.937500e-01 1.049114e+00 1.125000e-02
2.000000e-01 1.051895e+00 1.175600e-02
2.062500e-01 1.053831e+00 1.226800e-02
2.125000e-01 1.059244e+00 1.278400e-02
2.187500e-01 1.061330e+00 1.330400e-02
2.250000e-01 1.063217e+00 1.382800e-02
2.312500e-01 1.067488e+00 1.435500e-02
2.375000e-01 1.069772e+00 1.488500e-02
2.437500e-01 1.074043e+00 1.541800e-02
2.500000e-01 1.076526e+00 1.595200e-02
2.562500e-01 1.080548e+00 1.648800e-02
2.625000e-01 1.085862e+00 1.702600e-02
2.687500e-01 1.087352e+00 1.756400e-02
2.750000e-01 1.091026e+00 1.810200e-02
2.812500e-01 1.094503e+00 1.864000e-02
2.875000e-01 1.100114e+00 1.917800e-02
2.937500e-01 1.099916e+00 1.971600e-02
3.000000e-01 1.104584e+00 2.025200e-02
3.062500e-01 1.107811e+00 2.078700e-02
3.125000e-01 1.111139e+00 2.132000e-02
3.187500e-01 1.115956e+00 2.185200e-02
3.250000e-01 1.117197e+00 2.238000e-02
3.312500e-01 1.122560e+00 2.290600e-02
3.375000e-01 1.124845e+00 2.343000e-02
