"S" "q/q_s" "D/h"
0.000000e+00 1.000000e+00 0.000000e+00
6.250000e-03 1.000100e+00 0.000000e+00
1.250000e-02 9.961994e-01 0.000000e+00
1.875000e-02 9.932990e-01 0.000000e+00
2.500000e-02 1.001600e+00 0.000000e+00
3.125000e-02 1.010552e+00 0.000000e+00
3.750000e-02 1.014952e+00 0.000000e+00
4.375000e-02 1.017553e+00 0.000000e+00
5.000000e-02 1.012452e+00 0.000000e+00
5.625000e-02 1.001950e+00 0.000000e+00
6.250000e-02 9.959994e-01 0.000000e+00
6.875000e-02 9.957994e-01 0.000000e+00
7.500000e-02 9.974496e-01 0.000000e+00
8.125000e-02 9.997500e-01 0.000000e+00
8.750000e-02 1.000400e+00 0.000000e+00
9.375000e-02 9.996499e-01 0.000000e+00
1.000000e-01 9.991499e-01 0.000000e+00
1.062500e-01 9.990999e-01 0.000000e+00
1.125000e-01 9.990499e-01 0.000000e+00
1.187500e-01 9.988498e-01 0.000000e+00
1.250000e-01 9.984498e-01 0.000000e+00
1.312500e-01 9.978997e-01 0.000000e+00
1.375000e-01 9.974996e-01 0.000000e+00
1.437500e-01 9.972496e-01 0.000000e+00
1.500000e-01 9.969995e-01 0.000000e+00
1.562500e-01 9.966495e-01 0.000000e+00
1.625000e-01 9.963495e-01 0.000000e+00
1.687500e-01 9.960494e-01 0.000000e+00
1.750000e-01 9.957494e-01 0.000000e+00
1.812500e-01 9.953993e-01 0.000000e+00
1.875000e-01 9.949992e-01 0.000000e+00
1.937500e-01 9.946492e-01 0.000000e+00
2.000000e-01 9.943492e-01 0.000000e+00
2.062500e-01 9.940491e-01 0.000000e+00
2.125000e-01 9.937491e-01 0.000000e+00
2.187500e-01 9.934990e-01 0.000000e+00
2.250000e-01 9.930990e-01 0.000000e+00
2.312500e-01 9.925489e-01 0.000000e+00
2.375000e-01 9.920488e-01 0.000000e+00
2.437500e-01 9.916487e-01 0.000000e+00
2.500000e-01 9.912987e-01 0.000000e+00
2.562500e-01 9.908986e-01 0.000000e+00
2.625000e-01 9.907486e-01 0.000000e+00
2.687500e-01 9.901485e-01 0.000000e+00
2.750000e-01 9.897985e-01 0.000000e+00
2.812500e-01 9.894984e-01 0.000000e+00
2.875000e-01 9.891484e-01 0.000000e+00
2.937500e-01 9.888483e-01 0.000000e+00
3.000000e-01 9.885483e-01 0.000000e+00
3.062500e-01 9.881982e-01 0.000000e+00
3.125000e-01 9.878482e-01 0.000000e+00
3.187500e-01 9.875481e-01 0.000000e+00
3.250000e-01 9.872481e-01 0.000000e+00
3.312500e-01 9.868480e-01 0.000000e+00
3.375000e-01 9.863980e-01 0.000000e+00
3.437500e-01 9.859979e-01 0.000000e+00
3.500000e-01 9.856979e-01 0.000000e+00
3.562500e-01 9.853478e-01 0.000000e+00
3.625000e-01 9.849977e-01 0.000000e+00
3.687500e-01 9.846477e-01 0.000000e+00
3.750000e-01 9.843977e-01 0.000000e+00
3.812500e-01 9.840976e-01 0.000000e+00
3.875000e-01 9.837476e-01 0.000000e+00
3.937500e-01 9.833975e-01 0.000000e+00
4.000000e-01 9.830975e-01 0.000000e+00
4.062500e-01 9.827974e-01 0.000000e+00
4.125000e-01 9.824474e-01 0.000000e+00
4.187500e-01 9.821973e-01 0.000000e+00
4.250000e-01 9.818973e-01 0.000000e+00
4.312500e-01 9.815972e-01 0.000000e+00
4.375000e-01 9.812472e-01 0.000000e+00
4.437500e-01 9.808971e-01 0.000000e+00
4.500000e-01 9.805471e-01 0.000000e+00
4.562500e-01 9.801970e-01 0.000000e+00
4.625000e-01 9.798970e-01 0.000000e+00
4.687500e-01 9.795469e-01 0.000000e+00
4.750000e-01 9.792469e-01 0.000000e+00
4.812500e-01 9.788968e-01 0.000000e+00
4.875000e-01 9.785968e-01 0.000000e+00
4.937500e-01 9.783468e-01 0.000000e+00
5.000000e-01 9.780967e-01 0.000000e+00
5.062500e-01 9.778467e-01 0.000000e+00
5.125000e-01 9.776967e-01 0.000000e+00
5.187500e-01 9.772466e-01 0.000000e+00
5.250000e-01 9.768965e-01 0.000000e+00
