#Time; "Q/Q0"; "Theta"; "p/p0"
0.0012; 0.13129; -88.875; 0.086134
0.0012; 0.13849; -87.75; 0.091541
0.0012; 0.14579; -86.625; 0.097471
0.0012; 0.15363; -85.5; 0.10365
0.0012; 0.16125; -84.375; 0.11009
0.0012; 0.16964; -83.25; 0.11688
0.0012; 0.17688; -82.125; 0.12358
0.0012; 0.18633; -81; 0.13126
0.0012; 0.19437; -79.875; 0.1385
0.0012; 0.20492; -78.75; 0.14703
0.0012; 0.21473; -77.625; 0.15517
0.0012; 0.22329; -76.5; 0.16345
0.0012; 0.2346; -75.375; 0.17276
0.0012; 0.24326; -74.25; 0.18133
0.0012; 0.25544; -73.125; 0.19173
0.0012; 0.26678; -72; 0.20159
0.0012; 0.2764; -70.875; 0.2116
0.0012; 0.28851; -69.75; 0.2226
0.0012; 0.29802; -68.625; 0.23285
0.0012; 0.31151; -67.5; 0.2451
0.0012; 0.32243; -66.375; 0.25666
0.0012; 0.3305; -65.25; 0.26766
0.0012; 0.34533; -64.125; 0.28073
0.0012; 0.35893; -63; 0.2939
0.0012; 0.3676; -61.875; 0.30625
0.0012; 0.378; -60.75; 0.31938
0.0012; 0.39114; -59.625; 0.3336
0.0012; 0.40226; -58.5; 0.34723
0.0012; 0.415; -57.375; 0.36135
0.0012; 0.42878; -56.25; 0.37663
0.0012; 0.43722; -55.125; 0.39098
0.0012; 0.4472; -54; 0.40555
0.0012; 0.46155; -52.875; 0.42128
0.0012; 0.47443; -51.75; 0.43685
0.0012; 0.48581; -50.625; 0.45283
0.0012; 0.49552; -49.5; 0.46866
0.0012; 0.50626; -48.375; 0.48453
0.0012; 0.51973; -47.25; 0.50092
0.0012; 0.5389; -46.125; 0.5263
0.0012; 0.54222; -45; 0.53414
0.0012; 0.55161; -43.875; 0.55039
0.0012; 0.56541; -42.75; 0.56736
0.0012; 0.57834; -41.625; 0.58443
0.0012; 0.58708; -40.5; 0.60098
0.0012; 0.59714; -39.375; 0.6175
0.0012; 0.61068; -38.25; 0.63453
0.0012; 0.62218; -37.125; 0.65139
0.0012; 0.63095; -36; 0.66778
0.0012; 0.64211; -34.875; 0.68415
0.0012; 0.65477; -33.75; 0.70076
0.0012; 0.66457; -32.625; 0.71693
0.0012; 0.67407; -31.5; 0.73273
0.0012; 0.686; -30.375; 0.74858
0.0012; 0.69707; -29.25; 0.76421
0.0012; 0.70631; -28.125; 0.77928
0.0012; 0.71713; -27; 0.79414
0.0012; 0.72871; -25.875; 0.80891
0.0012; 0.73839; -24.75; 0.82309
0.0012; 0.74859; -23.625; 0.83688
0.0012; 0.76; -22.5; 0.85052
0.0012; 0.77004; -21.375; 0.86358
0.0012; 0.78018; -20.25; 0.87617
0.0012; 0.7911; -19.125; 0.8885
0.0012; 0.80097; -18; 0.90022
0.0012; 0.81114; -16.875; 0.9115
0.0012; 0.82096; -15.75; 0.92227
0.0012; 0.83043; -14.625; 0.93245
0.0012; 0.83966; -13.5; 0.94208
0.0012; 0.84817; -12.375; 0.95104
0.0012; 0.85636; -11.25; 0.95938
0.0012; 0.86375; -10.125; 0.96698
0.0012; 0.87062; -9; 0.97387
0.0012; 0.87664; -7.875; 0.97999
0.0012; 0.88188; -6.75; 0.98533
0.0012; 0.88634; -5.625; 0.98986
0.0012; 0.88992; -4.5; 0.99358
0.0012; 0.89259; -3.375; 0.99648
0.0012; 0.89438; -2.25; 0.99854
0.0012; 0.89556; -1.125; 1.0003
0.0012; 0.89556; -0; 1.0003
0.0012; 0.8953; 1.125; 0.99982
0.0012; 0.89438; 2.25; 0.99854
0.0012; 0.89259; 3.375; 0.99648
0.0012; 0.88992; 4.5; 0.99358
0.0012; 0.88634; 5.625; 0.98986
0.0012; 0.88187; 6.75; 0.98533
0.0012; 0.87665; 7.875; 0.97999
0.0012; 0.87061; 9; 0.97387
0.0012; 0.86373; 10.125; 0.96698
0.0012; 0.85636; 11.25; 0.95937
0.0012; 0.84829; 12.375; 0.95105
0.0012; 0.83946; 13.5; 0.94206
0.0012; 0.83048; 14.625; 0.93246
0.0012; 0.82113; 15.75; 0.92227
0.0012; 0.81104; 16.875; 0.91149
0.0012; 0.80087; 18; 0.90022
0.0012; 0.79101; 19.125; 0.88848
0.0012; 0.78075; 20.25; 0.87624
0.0012; 0.76979; 21.375; 0.86352
0.0012; 0.7593; 22.5; 0.85047
0.0012; 0.74921; 23.625; 0.83697
0.0012; 0.73905; 24.75; 0.8231
0.0012; 0.72772; 25.875; 0.80878
0.0012; 0.71683; 27; 0.79419
0.0012; 0.70763; 28.125; 0.77944
0.0012; 0.69617; 29.25; 0.76398
0.0012; 0.6856; 30.375; 0.74864
0.0012; 0.67551; 31.5; 0.73295
0.0012; 0.66347; 32.625; 0.71668
0.0012; 0.65434; 33.75; 0.7008
0.0012; 0.6432; 34.875; 0.68432
0.0012; 0.63082; 36; 0.66765
0.0012; 0.62201; 37.125; 0.65138
0.0012; 0.60987; 38.25; 0.63446
0.0012; 0.59728; 39.375; 0.61758
0.0012; 0.58912; 40.5; 0.60119
0.0012; 0.57741; 41.625; 0.58422
0.0012; 0.56273; 42.75; 0.56703
0.0012; 0.55388; 43.875; 0.55082
0.0012; 0.54459; 45; 0.53427
0.0012; 0.52175; 46.125; 0.50884
0.0012; 0.51785; 47.25; 0.50101
0.0012; 0.50952; 48.375; 0.48504
0.0012; 0.49768; 49.5; 0.4686
0.0012; 0.48303; 50.625; 0.45231
0.0012; 0.47123; 51.75; 0.43673
0.0012; 0.46263; 52.875; 0.42158
0.0012; 0.45192; 54; 0.40615
0.0012; 0.43744; 55.125; 0.3907
0.0012; 0.42359; 56.25; 0.37569
0.0012; 0.4145; 57.375; 0.36172
0.0012; 0.40553; 58.5; 0.34784
0.0012; 0.39167; 59.625; 0.3333
0.0012; 0.37719; 60.75; 0.31929
0.0012; 0.36698; 61.875; 0.30629
0.0012; 0.3588; 63; 0.29395
0.0012; 0.34559; 64.125; 0.28085
0.0012; 0.33062; 65.25; 0.26765
0.0012; 0.32237; 66.375; 0.2565
0.0012; 0.31186; 67.5; 0.24514
0.0012; 0.29772; 68.625; 0.23276
0.0012; 0.28891; 69.75; 0.22266
0.0012; 0.27705; 70.875; 0.21189
0.0012; 0.26587; 72; 0.20135
0.0012; 0.25543; 73.125; 0.19172
0.0012; 0.24319; 74.25; 0.18133
0.0012; 0.23475; 75.375; 0.17273
0.0012; 0.22366; 76.5; 0.16358
0.0012; 0.21445; 77.625; 0.15509
0.0012; 0.20485; 78.75; 0.147
0.0012; 0.19433; 79.875; 0.13849
0.0012; 0.18642; 81; 0.13124
0.0012; 0.17703; 82.125; 0.12362
0.0012; 0.16966; 83.25; 0.11686
0.0012; 0.16121; 84.375; 0.11006
0.0012; 0.15362; 85.5; 0.10365
0.0012; 0.14585; 86.625; 0.097495
0.0012; 0.13842; 87.75; 0.091531
0.0012; 0.13124; 88.875; 0.086137
